captured_at,source,frame_index,plc_time,key_switch_on,direction_handle,direction_name,master_handle,master_name,traction_percent,brake_percent,emergency_brake_pressed,door_open_left,door_open_right,door_close_left,door_close_right,mode_upgrade_confirm,mode_downgrade_confirm,confirm_pressed,ato_start_pressed,plc_speed_raw_word,interval_ms,raw_hex
2026-07-13T03:27:59.773+00:00,live,1,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:27:59.873+00:00,live,2,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,94.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:27:59.977+00:00,live,3,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,109.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:28:00.076+00:00,live,4,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,94.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:28:00.178+00:00,live,5,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,110.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:28:00.277+00:00,live,6,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,93.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:28:00.378+00:00,live,7,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,79,0,False,False,False,False,False,False,False,False,False,0,94.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ec 9f 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4f 00 00 00 00 00
2026-07-13T03:28:00.477+00:00,live,8,2026-07-13 11:37:39,True,1,FORWARD,1,TRACTION,78,0,False,False,False,False,False,False,False,False,False,0,109.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 27 00 01 00 ed 4e 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4e 00 00 00 00 00
2026-07-13T03:28:00.581+00:00,live,9,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,76,0,False,False,False,False,False,False,False,False,False,0,94.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec ac 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4c 00 00 00 00 00
2026-07-13T03:28:00.680+00:00,live,10,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,74,0,False,False,False,False,False,False,False,False,False,0,110.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec ca 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 4a 00 00 00 00 00
2026-07-13T03:28:00.768+00:00,live,11,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,73,0,False,False,False,False,False,False,False,False,False,0,78.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec f9 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 49 00 00 00 00 00
2026-07-13T03:28:00.883+00:00,live,12,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,71,0,False,False,False,False,False,False,False,False,False,0,125.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ed d7 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 47 00 00 00 00 00
2026-07-13T03:28:00.983+00:00,live,13,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,69,0,False,False,False,False,False,False,False,False,False,0,93.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec 35 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 45 00 00 00 00 00
2026-07-13T03:28:01.083+00:00,live,14,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,68,0,False,False,False,False,False,False,False,False,False,0,110.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ed e4 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 44 00 00 00 00 00
2026-07-13T03:28:01.179+00:00,live,15,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,67,0,False,False,False,False,False,False,False,False,False,0,94.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec 53 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 43 00 00 00 00 00
2026-07-13T03:28:01.279+00:00,live,16,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,65,0,False,False,False,False,False,False,False,False,False,0,93.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ed b1 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 41 00 00 00 00 00
2026-07-13T03:28:01.383+00:00,live,17,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,64,0,False,False,False,False,False,False,False,False,False,0,110.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 ec 60 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 40 00 00 00 00 00
2026-07-13T03:28:01.487+00:00,live,18,2026-07-13 11:37:40,True,1,FORWARD,1,TRACTION,63,0,False,False,False,False,False,False,False,False,False,0,93.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 28 00 01 00 e7 af 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 3f 00 00 00 00 00
2026-07-13T03:28:01.587+00:00,live,19,2026-07-13 11:37:41,True,1,FORWARD,1,TRACTION,62,0,False,False,False,False,False,False,False,False,False,0,110.0,55 aa 55 aa 2e 00 16 00 ea 07 07 00 0d 00 0b 00 25 00 29 00 01 00 e6 7e 20 00 00 00 00 00 00 00 00 00 00 02 01 00 01 00 3e 00 00 00 00 00
